Spectrum title              ,             2.5-1-7-5
Detector type ,             SDD (2016)
Voltage (kV)  ,              5 
Current (uA)  ,              600 
Primary filter              ,             Open
Helium used   ,             Yes
Live acquisition time (s)   ,              90 
Dead time (%) ,              10 
Channel       ,             counts
0             ,             0
1             ,             0
2             ,             0
3             ,             0
4             ,             0
5             ,             0
6             ,             0
7             ,             0
8             ,             0
9             ,             0
10            ,             0
11            ,             0
12            ,             0
13            ,             0
14            ,             0
15            ,             0
16            ,             0
17            ,             0
18            ,             0
19            ,             0
20            ,             0
21            ,             0
22            ,             0
23            ,             1
24            ,             3
25            ,             3
26            ,             2
27            ,             6
28            ,             6
29            ,             12
30            ,             16
31            ,             28
32            ,             35
33            ,             40
34            ,             62
35            ,             72
36            ,             103
37            ,             111
38            ,             114
39            ,             160
40            ,             178
41            ,             233
42            ,             260
43            ,             271
44            ,             295
45            ,             352
46            ,             374
47            ,             354
48            ,             437
49            ,             441
50            ,             465
51            ,             608
52            ,             776
53            ,             906
54            ,             1177
55            ,             1472
56            ,             1512
57            ,             1651
58            ,             1528
59            ,             1305
60            ,             1065
61            ,             785
62            ,             707
63            ,             566
64            ,             523
65            ,             500
66            ,             511
67            ,             497
68            ,             516
69            ,             487
70            ,             475
71            ,             486
72            ,             497
73            ,             496
74            ,             447
75            ,             410
76            ,             409
77            ,             411
78            ,             343
79            ,             340
80            ,             313
81            ,             305
82            ,             325
83            ,             308
84            ,             296
85            ,             281
86            ,             279
87            ,             263
88            ,             297
89            ,             295
90            ,             249
91            ,             291
92            ,             288
93            ,             274
94            ,             259
95            ,             265
96            ,             255
97            ,             276
98            ,             224
99            ,             244
100           ,             249
101           ,             265
102           ,             217
103           ,             248
104           ,             216
105           ,             235
106           ,             272
107           ,             245
108           ,             238
109           ,             250
110           ,             270
111           ,             240
112           ,             255
113           ,             252
114           ,             246
115           ,             264
116           ,             250
117           ,             226
118           ,             279
119           ,             308
120           ,             283
121           ,             285
122           ,             274
123           ,             287
124           ,             305
125           ,             339
126           ,             292
127           ,             275
128           ,             289
129           ,             314
130           ,             311
131           ,             299
132           ,             342
133           ,             346
134           ,             356
135           ,             383
136           ,             457
137           ,             456
138           ,             455
139           ,             476
140           ,             519
141           ,             554
142           ,             546
143           ,             575
144           ,             611
145           ,             697
146           ,             734
147           ,             865
148           ,             817
149           ,             904
150           ,             911
151           ,             939
152           ,             919
153           ,             954
154           ,             961
155           ,             981
156           ,             1013
157           ,             1111
158           ,             1105
159           ,             1199
160           ,             1255
161           ,             1394
162           ,             1493
163           ,             1614
164           ,             1662
165           ,             1967
166           ,             2326
167           ,             2837
168           ,             3672
169           ,             5120
170           ,             7170
171           ,             10131
172           ,             14125
173           ,             19415
174           ,             25197
175           ,             31236
176           ,             36464
177           ,             40972
178           ,             43083
179           ,             43697
180           ,             42541
181           ,             40229
182           ,             37417
183           ,             33829
184           ,             30047
185           ,             25695
186           ,             21640
187           ,             17558
188           ,             13756
189           ,             10492
190           ,             7882
191           ,             6335
192           ,             5035
193           ,             4579
194           ,             4326
195           ,             4464
196           ,             4679
197           ,             4944
198           ,             5438
199           ,             6044
200           ,             6291
201           ,             7052
202           ,             7237
203           ,             7769
204           ,             8082
205           ,             8161
206           ,             8209
207           ,             8153
208           ,             8162
209           ,             8033
210           ,             8174
211           ,             8487
212           ,             8795
213           ,             9018
214           ,             9566
215           ,             10139
216           ,             10893
217           ,             11608
218           ,             12253
219           ,             13477
220           ,             14761
221           ,             16552
222           ,             18822
223           ,             21947
224           ,             26778
225           ,             32251
226           ,             39715
227           ,             48545
228           ,             57734
229           ,             65387
230           ,             71837
231           ,             74669
232           ,             74854
233           ,             70777
234           ,             64340
235           ,             56712
236           ,             48825
237           ,             40840
238           ,             34787
239           ,             30165
240           ,             27093
241           ,             25492
242           ,             24064
243           ,             23187
244           ,             23201
245           ,             22816
246           ,             22308
247           ,             21707
248           ,             20877
249           ,             19849
250           ,             18525
251           ,             17273
252           ,             15799
253           ,             14603
254           ,             13564
255           ,             12492
256           ,             11615
257           ,             10951
258           ,             10138
259           ,             9523
260           ,             9150
261           ,             8802
262           ,             8318
263           ,             7982
264           ,             7647
265           ,             7332
266           ,             6995
267           ,             6921
268           ,             6677
269           ,             6413
270           ,             6341
271           ,             6260
272           ,             6181
273           ,             6172
274           ,             6114
275           ,             5877
276           ,             5957
277           ,             5978
278           ,             5983
279           ,             5900
280           ,             5904
281           ,             6016
282           ,             6055
283           ,             5962
284           ,             5899
285           ,             6043
286           ,             6025
287           ,             6158
288           ,             6135
