Spectrum title              ,             M-5-3
Detector type ,             SDD (2016)
Voltage (kV)  ,              5 
Current (uA)  ,              600 
Primary filter              ,             Open
Helium used   ,             Yes
Live acquisition time (s)   ,              90 
Dead time (%) ,              10 
Channel       ,             counts
0             ,             0
1             ,             0
2             ,             0
3             ,             0
4             ,             0
5             ,             0
6             ,             0
7             ,             0
8             ,             0
9             ,             0
10            ,             0
11            ,             0
12            ,             0
13            ,             0
14            ,             0
15            ,             0
16            ,             0
17            ,             0
18            ,             0
19            ,             0
20            ,             0
21            ,             0
22            ,             1
23            ,             0
24            ,             1
25            ,             0
26            ,             1
27            ,             3
28            ,             7
29            ,             25
30            ,             15
31            ,             22
32            ,             32
33            ,             53
34            ,             61
35            ,             82
36            ,             95
37            ,             114
38            ,             159
39            ,             163
40            ,             172
41            ,             207
42            ,             229
43            ,             274
44            ,             300
45            ,             320
46            ,             356
47            ,             370
48            ,             398
49            ,             427
50            ,             443
51            ,             573
52            ,             738
53            ,             962
54            ,             1154
55            ,             1330
56            ,             1564
57            ,             1492
58            ,             1415
59            ,             1230
60            ,             1015
61            ,             771
62            ,             617
63            ,             545
64            ,             490
65            ,             452
66            ,             470
67            ,             411
68            ,             456
69            ,             467
70            ,             485
71            ,             492
72            ,             483
73            ,             446
74            ,             431
75            ,             426
76            ,             407
77            ,             372
78            ,             346
79            ,             324
80            ,             315
81            ,             321
82            ,             308
83            ,             258
84            ,             296
85            ,             297
86            ,             285
87            ,             304
88            ,             265
89            ,             231
90            ,             246
91            ,             270
92            ,             249
93            ,             253
94            ,             245
95            ,             242
96            ,             248
97            ,             234
98            ,             263
99            ,             261
100           ,             262
101           ,             231
102           ,             249
103           ,             246
104           ,             265
105           ,             259
106           ,             288
107           ,             259
108           ,             241
109           ,             212
110           ,             256
111           ,             249
112           ,             273
113           ,             209
114           ,             241
115           ,             250
116           ,             245
117           ,             253
118           ,             254
119           ,             273
120           ,             255
121           ,             284
122           ,             291
123           ,             280
124           ,             291
125           ,             271
126           ,             264
127           ,             308
128           ,             299
129           ,             295
130           ,             276
131           ,             331
132           ,             325
133           ,             311
134           ,             374
135           ,             392
136           ,             412
137           ,             455
138           ,             493
139           ,             494
140           ,             499
141           ,             533
142           ,             573
143           ,             557
144           ,             646
145           ,             637
146           ,             773
147           ,             754
148           ,             820
149           ,             903
150           ,             954
151           ,             874
152           ,             943
153           ,             980
154           ,             960
155           ,             954
156           ,             1042
157           ,             1038
158           ,             1064
159           ,             1184
160           ,             1231
161           ,             1337
162           ,             1463
163           ,             1619
164           ,             1683
165           ,             1860
166           ,             2136
167           ,             2435
168           ,             3046
169           ,             4125
170           ,             5604
171           ,             8128
172           ,             11625
173           ,             16491
174           ,             21887
175           ,             27980
176           ,             34141
177           ,             39481
178           ,             42220
179           ,             43156
180           ,             42879
181           ,             41005
182           ,             38125
183           ,             34471
184           ,             30957
185           ,             27141
186           ,             22680
187           ,             18302
188           ,             14441
189           ,             11077
190           ,             8601
191           ,             6566
192           ,             5548
193           ,             4893
194           ,             4752
195           ,             4866
196           ,             5247
197           ,             5640
198           ,             6273
199           ,             6865
200           ,             7636
201           ,             8127
202           ,             8769
203           ,             9159
204           ,             9345
205           ,             9467
206           ,             9394
207           ,             9348
208           ,             9149
209           ,             9224
210           ,             9058
211           ,             9245
212           ,             9663
213           ,             9822
214           ,             10328
215           ,             10885
216           ,             11390
217           ,             11972
218           ,             12566
219           ,             13544
220           ,             14779
221           ,             16254
222           ,             18459
223           ,             21322
224           ,             25925
225           ,             31471
226           ,             38799
227           ,             46578
228           ,             55742
229           ,             63079
230           ,             69188
231           ,             72876
232           ,             71812
233           ,             67470
234           ,             61573
235           ,             53901
236           ,             45485
237           ,             38449
238           ,             32265
239           ,             27663
240           ,             24777
241           ,             22800
242           ,             21920
243           ,             21366
244           ,             21167
245           ,             20866
246           ,             20741
247           ,             20158
248           ,             19293
249           ,             18590
250           ,             17354
251           ,             16366
252           ,             14801
253           ,             13842
254           ,             12725
255           ,             12102
256           ,             11259
257           ,             10462
258           ,             10027
259           ,             9310
260           ,             8970
261           ,             8332
262           ,             8140
263           ,             7921
264           ,             7515
265           ,             7289
266           ,             6884
267           ,             6942
268           ,             6692
269           ,             6411
270           ,             6406
271           ,             6240
272           ,             6245
273           ,             6012
274           ,             5986
275           ,             5875
276           ,             6093
277           ,             5786
278           ,             5842
279           ,             5996
280           ,             5951
281           ,             5946
282           ,             5794
283           ,             5962
284           ,             6040
285           ,             5880
286           ,             6008
287           ,             6080
288           ,             6121
289           ,             6214
